cdx-ps.starbucks.com                                    34.237.118.155
cdx-sd.starbucks.com                                    34.237.118.155
cdx-ss.starbucks.com                                    34.237.118.155
cdx.starbucks.com                                       52.202.61.221
certaccess.gtm.starbucks.com                            98.99.252.53
certaccess.starbucks.com                                98.99.252.53
cert-archergrc.starbucks.com                            98.99.250.199
cert-communities-ec3.starbucks.com                      98.99.252.106
certcrmasp-dr.starbucks.com                             148.87.240.218
certcrmasp.starbucks.com                                144.23.239.1
certcrmpospa1-dr.starbucks.com                          148.87.129.109
certcrmpospa1.starbucks.com                             144.23.238.205
certcrmpospa2-dr.starbucks.com                          148.87.129.110
certcrmpospa2.starbucks.com                             144.23.238.206
cert-departments-ec3.starbucks.com                      98.99.252.106
cert-digitalcontent-origin.starbucks.com                98.99.252.212
cert-digitalcontent-web.starbucks.com                   98.99.252.241
certedam.starbucks.com                                  98.99.254.112
certltyapps-oid.starbucks.com                           148.87.231.187
certltycrmapps-dr.starbucks.com                         148.87.129.85
certltycrmapps.starbucks.com                            144.23.238.147
cert-mysite-ec3.starbucks.com                           98.99.252.106
cert-partner-ec3.starbucks.com                          98.99.252.106
certpospa1.starbucks.com                                148.87.218.50
certpospa2.starbucks.com                                148.87.218.55
cert.starbucks.com                                      98.99.254.201
cert-teams-ec3.starbucks.com                            98.99.252.106
certweb.starbucks.com                                   98.99.254.198
chdlyncconf01.starbucks.com                             98.99.250.60
chdlyncedge01.starbucks.com                             98.99.250.144
chdlyncweb01.starbucks.com                              98.99.250.192
chdlyncwebapp01-chd.starbucks.com                       199.233.179.61
chdlyncwebapp01.starbucks.com                           98.99.250.192
ChdLyncWebApp01.starbucks.com                           98.99.250.192
chd.starbucks.com                                       204.238.150.83
cloudappschd.starbucks.com                              98.99.248.113
cloudappsemea.starbucks.com                             98.99.252.128
cloudapps.gtm.starbucks.com                             98.99.252.128
cloudappsiad.starbucks.com                              98.99.252.128
cloudapps.starbucks.com                                 98.99.252.128
cloudid-cert.starbucks.com                              104.42.6.48
cloudid-dev.starbucks.com                               13.83.242.218
cloudid.starbucks.com                                   104.210.34.163
cms-chd.starbucks.com                                   204.238.150.14
cms-iad.starbucks.com                                   98.99.252.57
cms.starbucks.com                                       98.99.252.57
c.mx.b.e.starbucks.com                                  207.251.96.214
c.ns.a.starbucks.com                                    216.15.189.57
c.ns.e.starbucks.com                                    216.15.189.57
c.ns.e.stories.starbucks.com                            216.15.189.57
codeload.scm.starbucks.com                              98.99.254.230
codeload.scmtest.starbucks.com                          98.99.252.195
coffeeblogs.starbucks.com                               98.99.252.176
communities-ec3.starbucks.com                           98.99.252.94
communities.starbucks.com                               98.99.252.118
community.starbucks.com                                 204.74.99.103
community.uat.starbucks.com                             204.93.71.24
compass-pd.starbucks.com                                98.99.254.75
compass-prodb.starbucks.com                             98.99.254.95
compass-prod.starbucks.com                              98.99.254.101
connectadmindev.starbucks.com                           13.225.53.6
connectadminstaging.starbucks.com                       13.225.53.24
connectadmin.starbucks.com                              13.225.53.69
connectadmintest.starbucks.com                          143.204.166.77
connectdev.starbucks.com                                13.249.76.75
connectinteg.starbucks.com                              13.249.76.118
connectstaging.starbucks.com                            13.225.53.20
connect.starbucks.com                                   143.204.166.105
connecttest.starbucks.com                               13.249.76.118
content-prod-live.cert.starbucks.com                    23.211.65.187
corporateorders.starbucks.com                           204.74.99.103
cpath-chd.starbucks.com                                 98.99.248.160
cpath-iad.starbucks.com                                 98.99.252.160
creative.starbucks.com                                  13.249.76.46
crl.gtm.starbucks.com                                   98.99.252.50
crl.starbucks.com                                       98.99.252.50
ct00.gifts.starbucks.com                                52.168.78.235
ct00.mfa.starbucks.com                                  52.168.55.174
ct01.gifts.starbucks.com                                104.42.108.62
ct.cdx.starbucks.com                                    34.237.118.155
ctoutage.starbucks.com                                  13.107.246.13
ct.ucpc.starbucks.com                                   34.237.118.125
ct.ucp.starbucks.com                                    34.237.118.125
customerservice.starbucks.com                           74.117.200.136
d01-1-ag.productioncontroller.starbucks.com             52.242.83.161
d01.productioncontroller.starbucks.com                  52.242.83.161
d01-ssa.productioncontroller.starbucks.com              52.242.83.161
d02-1-ag.productioncontroller.starbucks.com             13.64.158.67
d02-3-ag.productioncontroller.starbucks.com             52.179.190.255
d02.productioncontroller.starbucks.com                  13.64.158.67
d02.spc.starbucks.com                                   34.237.118.125
d02-ssa.productioncontroller.starbucks.com              13.64.158.67
d02-tm.productioncontroller.starbucks.com               13.64.158.67
d03-1-ag.productioncontroller.starbucks.com             52.167.137.230
d03-2-ag.productioncontroller.starbucks.com             51.143.13.10
d03.productioncontroller.starbucks.com                  52.167.137.230
d03-ssa.productioncontroller.starbucks.com              52.167.137.230
da04.starbucks.com                                      199.233.179.229
datacafe-dev.starbucks.com                              52.159.171.147
datacafe.starbucks.com                                  52.157.17.71
datacafe-test.starbucks.com                             52.159.171.147
datapulse-app.starbucks.com                             52.160.40.218
datapulse-dev-app.starbucks.com                         13.93.158.16
datapulse-dev.starbucks.com                             13.107.246.13
datapulse-dr-app.starbucks.com                          52.173.134.115
datapulse-prod-app.starbucks.com                        52.160.40.218
datapulse.starbucks.com                                 13.107.246.13
datapulse-test-app.starbucks.com                        40.80.152.87
datapulse-uat-app.starbucks.com                         40.112.243.32
datapulse-uat.starbucks.com                             13.107.246.13
data-quality.analytics.starbucks.com                    13.89.172.23
data-quality-dev.analytics.starbucks.com                13.89.172.7
d-cpath-chd.starbucks.com                               98.99.248.161
d-cpath-iad.starbucks.com                               98.99.252.161
de-de.test.starbucks.com                                23.199.39.201
deepbrewbeta-prod-api.starbucks.com                     13.92.193.110
deepbrew-preprod-api.starbucks.com                      52.226.134.64
deepbrew-prod-api.starbucks.com                         13.92.193.110
deepbrew.starbucks.com                                  13.89.172.8
delivery.starbucks.com                                  13.52.82.12
departments-ec3.starbucks.com                           98.99.252.94
departments.starbucks.com                               98.99.252.118
desktop.gtm.starbucks.com                               98.99.248.111
desktop.starbucks.com                                   98.99.248.111
dev.api.martech.starbucks.com                           34.237.118.125
dev-archergrc.starbucks.com                             98.99.250.200
devedqapps.starbucks.com                                144.23.238.154
developer.starbucks.com                                 23.185.0.1
devinternal.gifting.starbucks.com                       52.168.174.159
devltycrmapps.starbucks.com                             148.87.129.11
dev.mfa.starbucks.com                                   52.224.202.115
dev.sei.starbucks.com                                   13.107.246.13
dev.starbucks.com                                       23.203.2.9
dev.starbucks.com.br                                    23.203.2.9
dev.ucp.starbucks.com                                   34.237.118.125
devweb.starbucks.com                                    98.99.250.140
dialin.starbucks.com                                    98.99.250.192
digitalassets.starbucks.com                             23.67.246.42
digitalcart-cert.starbucks.com                          13.107.246.13
digitalcart-dev.starbucks.com                           13.107.246.13
digitalcart.starbucks.com                               13.107.246.13
digitalcart-test.starbucks.com                          13.107.246.13
digitalcontent-origin.starbucks.com                     98.99.252.213
digital.starbucks.com                                   204.74.99.103
d.mx.b.e.starbucks.com                                  207.251.96.215
d.mx.m.e.starbucks.com                                  207.251.96.215
d.ns.a.starbucks.com                                    216.15.189.58
dns-canary-ttl-300.gtm.starbucks.com                    98.99.1.1
d.ns.e.starbucks.com                                    216.15.189.58
d.ns.e.stories.starbucks.com                            216.15.189.58
docs.starbucks.com                                      104.18.17.246
docstest.starbucks.com                                  104.18.20.229
dr-acme.starbucks.com                                   98.99.248.107
dro365.starbucks.com                                    98.99.248.124
dr-sorry.starbucks.com                                  98.99.248.142
e02.spc.starbucks.com                                   35.226.134.126
eapi-ct.starbucks.com                                   34.237.118.231
eapi-dev.starbucks.com                                  34.237.118.125
eapi-gd.starbucks.com                                   34.237.118.231
eapi-load.starbucks.com                                 35.226.134.126
eapi-np.gtm.starbucks.com                               98.99.252.231
eapi-np.starbucks.com                                   98.99.252.231
eapi-pd.starbucks.com                                   34.237.118.231
eapi-p.gtm.starbucks.com                                98.99.252.255
eapi-pi.starbucks.com                                   34.237.118.231
eapi-ps.starbucks.com                                   34.237.118.231
eapi-p.starbucks.com                                    98.99.252.255
eapi-scmariba-sd.gtm.starbucks.com                      98.99.253.19
eapi-scmariba-sd.starbucks.com                          98.99.253.19
eapi-scmariba.starbucks.com                             98.99.253.18
eapi-scmariba-st.gtm.starbucks.com                      98.99.253.30
